Age,Gender,spotify_usage_period,User_ID,spotify_listening_device,spotify_subscription_plan,premium_sub_willingness,preffered_premium_plan,,fav_music_genre,music_time_slot,music_Influencial_mood,music_lis_frequency,music_expl_method,music_recc_rating
20-35,Female,More than 2 years,User_1,Smart speakers or voice assistants,Free (ad-supported),Yes,Family Plan-Rs 179/month,,Hip-hop,Night,Sadness or melancholy,leisure time,Playlists,3
12-20,Male,More than 2 years,User_2,Computer or laptop,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,,Country,Afternoon,Social gatherings or parties,Workout session,Playlists,2
35-60,Others,6 months to 1 year,User_3,Smart speakers or voice assistants,Free (ad-supported),Yes,Student Plan-Rs 59/month,,R&B,Night,Relaxation and stress relief,"Study Hours, While Traveling",Playlists,4
20-35,Female,1 year to 2 years,User_4,"Smartphone, Smart speakers or voice assistants",Free (ad-supported),No,None,,Jazz,Night,"Relaxation and stress relief, Social gatherings or parties","Office hours, Workout session, leisure time","recommendations, Playlists",4
20-35,Female,1 year to 2 years,User_5,Smartphone,Free (ad-supported),No,None,,Folk,Night,Relaxation and stress relief,leisure time,"recommendations, Playlists",4
20-35,Male,More than 2 years,User_6,Smartphone,Free (ad-supported),No,None,,Indie,Night,Uplifting and motivational,Workout session,Others,3
20-35,Female,1 year to 2 years,User_7,Smartphone,Free (ad-supported),No,None,,Rock,Morning,Relaxation and stress relief,Office hours,recommendations,3
20-35,Female,Less than 6 months,User_8,Smartphone,Free (ad-supported),No,None,,Reggae,Night,Social gatherings or parties,leisure time,recommendations,5
20-35,Female,Less than 6 months,User_9,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,,Electronic,Afternoon,"Relaxation and stress relief, Uplifting and motivational","While Traveling, leisure time","Playlists, Radio",4
20-35,Female,More than 2 years,User_10,Smartphone,Free (ad-supported),No,None,,Pop,Night,Relaxation and stress relief,"Office hours, While Traveling, Workout session",recommendations,4
20-35,Female,More than 2 years,User_11,Smartphone,Free (ad-supported),No,None,,Hip-hop,Afternoon,"Relaxation and stress relief, Uplifting and motivational","While Traveling, leisure time",Playlists,3
20-35,Female,1 year to 2 years,User_12,Smartphone,Free (ad-supported),No,None,,Country,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, leisure time","recommendations, Playlists",3
20-35,Female,1 year to 2 years,User_13,"Smartphone, Computer or laptop",Free (ad-supported),No,None,,R&B,Morning,Relaxation and stress relief,Office hours,Playlists,3
20-35,Female,More than 2 years,User_14,Smartphone,Free (ad-supported),No,None,,Jazz,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, While Traveling","recommendations, Others",1
20-35,Female,More than 2 years,User_15,Smartphone,Free (ad-supported),Yes,None,,Folk,Morning,Relaxation and stress relief,Office hours,"recommendations, Playlists",5
20-35,Female,More than 2 years,User_16,Smartphone,Free (ad-supported),No,None,,Indie,Afternoon,"Relaxation and stress relief, Uplifting and motivational","Office hours, While Traveling, leisure time",Others,2
20-35,Female,Less than 6 months,User_17,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,,Rock,Afternoon,Relaxation and stress relief,"While Traveling, leisure time","Playlists, Radio",1
20-35,Female,Less than 6 months,User_18,Smartphone,Free (ad-supported),No,None,,Reggae,Night,Social gatherings or parties,Social gatherings ,recommendations,4
20-35,Female,More than 2 years,User_19,Smartphone,Free (ad-supported),No,None,,Electronic,Night,Relaxation and stress relief,leisure time,recommendations,3
20-35,Female,1 year to 2 years,User_20,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,,Pop,Night,Sadness or melancholy,"While Traveling, leisure time",recommendations,4
20-35,Female,1 year to 2 years,User_21,Smartphone,Free (ad-supported),No,None,,Hip-hop,Night,"Relaxation and stress relief, Sadness or melancholy","While Traveling, leisure time","recommendations, Playlists",4
20-35,Male,More than 2 years,User_22,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,,Country,Morning,Relaxation and stress relief,Office hours,recommendations,5
20-35,Female,Less than 6 months,User_23,Smartphone,Free (ad-supported),No,None,,R&B,Night,Relaxation and stress relief,While Traveling,recommendations,4
20-35,Female,More than 2 years,User_24,"Smartphone, Computer or laptop, Smart speakers or voice assistants",Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,,Jazz,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists, Radio",1
20-35,Male,More than 2 years,User_25,"Smartphone, Computer or laptop",Premium (paid subscription),Yes,Family Plan-Rs 179/month,,Folk,Night,"Relaxation and stress relief, Sadness or melancholy",Study Hours,"recommendations, Radio",3
20-35,Female,1 year to 2 years,User_26,Smartphone,Free (ad-supported),No,None,,Indie,Night,Relaxation and stress relief,"While Traveling, Workout session, leisure time",Others,4
12-20,Male,6 months to 1 year,User_27,"Smartphone, Smart speakers or voice assistants",Premium (paid subscription),Yes,Student Plan-Rs 59/month,,Rock,Morning,Relaxation and stress relief,"Office hours, While Traveling, Workout session",recommendations,4
35-60,Male,Less than 6 months,User_28,Smartphone,Free (ad-supported),No,None,,Reggae,Night,Relaxation and stress relief,leisure time,recommendations,1
20-35,Female,Less than 6 months,User_29,Smartphone,Free (ad-supported),No,None,,Electronic,Night,Relaxation and stress relief,"Office hours, While Traveling",recommendations,4
20-35,Female,6 months to 1 year,User_30,"Smartphone, Computer or laptop",Free (ad-supported),No,None,,Pop,Night,"Relaxation and stress relief, Uplifting and motivational","Study Hours, leisure time",recommendations,3
20-35,Female,6 months to 1 year,User_31,Smartphone,Free (ad-supported),No,None,,Hip-hop,Morning,Relaxation and stress relief,While Traveling,Playlists,4
20-35,Male,1 year to 2 years,User_32,Smartphone,Free (ad-supported),No,None,,Country,Night,Relaxation and stress relief,Office hours,Playlists,5
12-20,Male,More than 2 years,User_33,Smartphone,Free (ad-supported),No,None,,R&B,Night,Uplifting and motivational,Workout session,"recommendations, Playlists",3
12-20,Male,More than 2 years,User_34,Smartphone,Free (ad-supported),Yes,None,,Jazz,Night,Relaxation and stress relief,While Traveling,recommendations,3
20-35,Female,Less than 6 months,User_35,Smartphone,Free (ad-supported),No,None,,Folk,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, leisure time",Playlists,4
12-20,Male,1 year to 2 years,User_36,Smartphone,Free (ad-supported),No,None,,Indie,Night,Uplifting and motivational,Workout session,Others,1
20-35,Female,More than 2 years,User_37,"Smartphone, Computer or laptop",Free (ad-supported),No,None,,Rock,Morning,Uplifting and motivational,"Office hours, While Traveling, leisure time","recommendations, Playlists, Radio",3
20-35,Female,More than 2 years,User_38,"Smartphone, Computer or laptop",Free (ad-supported),Yes,Individual Plan- Rs 119/ month,,Reggae,Night,"Relaxation and stress relief, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",3
12-20,Female,More than 2 years,User_39,Smartphone,Free (ad-supported),No,None,,Electronic,Night,Relaxation and stress relief,"While Traveling, leisure time",recommendations,4
12-20,Female,More than 2 years,User_40,"Smartphone, Computer or laptop",Free (ad-supported),No,None,,Pop,Night,"Relaxation and stress relief, Uplifting and motivational","Study Hours, leisure time",Playlists,3
12-20,Female,More than 2 years,User_41,Smartphone,Free (ad-supported),No,None,,Hip-hop,Night,Relaxation and stress relief,"While Traveling, leisure time","recommendations, Playlists, Others",4
12-20,Male,1 year to 2 years,User_42,Smartphone,Free (ad-supported),No,None,,Country,Night,Relaxation and stress relief,"While Traveling, Workout session",Playlists,3
12-20,Female,More than 2 years,User_43,Smartphone,Free (ad-supported),Yes,Student Plan-Rs 59/month,,R&B,Night,Uplifting and motivational,"Study Hours, Workout session, leisure time","recommendations, Playlists",4
12-20,Male,1 year to 2 years,User_44,"Smartphone, Computer or laptop",Free (ad-supported),No,None,,Jazz,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Others",5
20-35,Female,Less than 6 months,User_45,Smartphone,Free (ad-supported),No,None,,Folk,Night,"Relaxation and stress relief, Sadness or melancholy","Office hours, While Traveling, ","recommendations, Playlists",5
20-35,Male,1 year to 2 years,User_46,Smartphone,Free (ad-supported),No,None,,Indie,Night,Relaxation and stress relief,"While Traveling, leisure time",Playlists,5
12-20,Male,1 year to 2 years,User_47,Smartphone,Free (ad-supported),No,None,,Rock,Afternoon,Sadness or melancholy,"While Traveling, Workout session",Others,3
35-60,Male,1 year to 2 years,User_48,"Smartphone, Smart speakers or voice assistants",Free (ad-supported),Yes,Student Plan-Rs 59/month,,Reggae,Morning,Sadness or melancholy,"While Traveling, Workout session, leisure time","recommendations, Playlists",4
20-35,Female,Less than 6 months,User_49,"Smartphone, Wearable devices",Free (ad-supported),No,None,,Electronic,Morning,Relaxation and stress relief,"While Traveling, leisure time","recommendations, Playlists",3
20-35,Male,1 year to 2 years,User_50,"Smartphone, Computer or laptop, Smart speakers or voice assistants",Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, Workout session, leisure time",recommendations,4
20-35,Male,More than 2 years,User_51,"Smartphone, Computer or laptop, Wearable devices",Free (ad-supported),No,None,,Hip-hop,Night,Relaxation and stress relief,"While Traveling, leisure time","Playlists, Radio",3
12-20,Female,1 year to 2 years,User_52,Smart speakers or voice assistants,Free (ad-supported),No,None,,Country,Night,Relaxation and stress relief,leisure time,Others,4
20-35,Male,Less than 6 months,User_53,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,,R&B,Night,"Relaxation and stress relief, Sadness or melancholy",Office hours,Others,4
20-35,Female,1 year to 2 years,User_54,Smartphone,Free (ad-supported),No,None,,Jazz,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, Workout session, leisure time","recommendations, Playlists",4
20-35,Female,More than 2 years,User_55,"Smartphone, Wearable devices",Free (ad-supported),No,None,,Folk,Night,"Relaxation and stress relief, Social gatherings or parties","Office hours, While Traveling, leisure time","recommendations, Radio",3
12-20,Female,More than 2 years,User_56,Smartphone,Free (ad-supported),No,None,,Indie,Morning,"Relaxation and stress relief, Uplifting and motivational","Workout session, leisure time",Playlists,5
20-35,Male,Less than 6 months,User_57,Smartphone,Free (ad-supported),No,None,,Rock,Afternoon,Relaxation and stress relief,"While Traveling, leisure time",Playlists,3
20-35,Female,6 months to 1 year,User_58,Smartphone,Free (ad-supported),No,None,,Reggae,Night,Relaxation and stress relief,While Traveling,Playlists,4
20-35,Female,More than 2 years,User_59,"Smartphone, Computer or laptop",Free (ad-supported),No,None,,Electronic,Morning,Relaxation and stress relief,"While Traveling, Workout session","recommendations, Playlists",4
20-35,Male,More than 2 years,User_60,"Computer or laptop, Wearable devices",Premium (paid subscription),Yes,Family Plan-Rs 179/month,,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",5
20-35,Male,More than 2 years,User_61,Smartphone,Free (ad-supported),Yes,None,,Hip-hop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, leisure time",recommendations,4
20-35,Male,Less than 6 months,User_62,Smartphone,Free (ad-supported),No,None,,Country,Night,Uplifting and motivational,leisure time,Others,3
20-35,Male,Less than 6 months,User_63,Smartphone,Free (ad-supported),No,None,,R&B,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","While Traveling, leisure time",Others,3
20-35,Female,Less than 6 months,User_64,Smartphone,Free (ad-supported),No,None,,Jazz,Night,Relaxation and stress relief,leisure time,Playlists,3
12-20,Male,Less than 6 months,User_65,Computer or laptop,Free (ad-supported),No,None,,Folk,Afternoon,Relaxation and stress relief,"While Traveling, leisure time",recommendations,3
20-35,Male,6 months to 1 year,User_66,Smartphone,Free (ad-supported),No,None,,Indie,Night,"Relaxation and stress relief, Sadness or melancholy",leisure time,"recommendations, Others",3
20-35,Male,More than 2 years,User_67,"Smartphone, Computer or laptop, Smart speakers or voice assistants, Wearable devices",Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,,Rock,Night,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",5
20-35,Male,More than 2 years,User_68,"Smartphone, Computer or laptop",Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,,Reggae,Night,"Relaxation and stress relief, Uplifting and motivational",Office hours,"recommendations, Playlists",4
20-35,Female,Less than 6 months,User_69,Smartphone,Free (ad-supported),No,None,,Electronic,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, leisure time",Playlists,4
20-35,Female,1 year to 2 years,User_70,"Smartphone, Computer or laptop, Wearable devices",Free (ad-supported),Yes,Individual Plan- Rs 119/ month,,Pop,Afternoon,Relaxation and stress relief,leisure time,recommendations,5
20-35,Female,1 year to 2 years,User_71,"Smartphone, Computer or laptop",Free (ad-supported),No,None,,Hip-hop,Night,Relaxation and stress relief,"Office hours, While Traveling, Workout session",Playlists,5
20-35,Female,Less than 6 months,User_72,Smartphone,Free (ad-supported),No,None,,Country,Afternoon,Uplifting and motivational,While Traveling,Playlists,3
20-35,Female,More than 2 years,User_73,Smartphone,Free (ad-supported),No,None,,R&B,Night,"Relaxation and stress relief, Sadness or melancholy",leisure time,"recommendations, Playlists",5
20-35,Female,Less than 6 months,User_74,"Smartphone, Computer or laptop",Free (ad-supported),No,None,,Jazz,Morning,Social gatherings or parties,"Office hours, While Traveling, leisure time",Others,2
12-20,Female,6 months to 1 year,User_75,Computer or laptop,Premium (paid subscription),No,None,,Folk,Afternoon,Uplifting and motivational,While Traveling,Radio,2
20-35,Others,1 year to 2 years,User_76,Smart speakers or voice assistants,Premium (paid subscription),Yes,Student Plan-Rs 59/month,,Indie,Afternoon,"Uplifting and motivational, Sadness or melancholy","While Traveling, Workout session, leisure time",Others,4
20-35,Female,More than 2 years,User_77,Wearable devices,Free (ad-supported),Yes,Duo plan- Rs 149/month,,Rock,Night,Sadness or melancholy,Study Hours,recommendations,2
35-60,Male,1 year to 2 years,User_78,Computer or laptop,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,,Reggae,Afternoon,Social gatherings or parties,Workout session,Radio,5
12-20,Female,1 year to 2 years,User_79,Computer or laptop,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,,Electronic,Afternoon,Sadness or melancholy,While Traveling,Radio,3
12-20,Female,1 year to 2 years,User_80,Computer or laptop,Free (ad-supported),Yes,Duo plan- Rs 149/month,,Pop,Afternoon,Uplifting and motivational,Study Hours,Radio,3
20-35,Female,6 months to 1 year,User_81,Smartphone,Free (ad-supported),No,None,,Hip-hop,Afternoon,Relaxation and stress relief,leisure time,Others,4
12-20,Female,Less than 6 months,User_82,Smartphone,Free (ad-supported),Yes,Duo plan- Rs 149/month,,Country,Morning,Relaxation and stress relief,Study Hours,Radio,3
35-60,Male,Less than 6 months,User_83,Smartphone,Free (ad-supported),No,None,,R&B,Night,Relaxation and stress relief,leisure time,recommendations,4
12-20,Others,6 months to 1 year,User_84,Computer or laptop,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,,Jazz,Morning,Uplifting and motivational,While Traveling,Radio,3
20-35,Female,1 year to 2 years,User_85,Smartphone,Free (ad-supported),No,None,,Folk,Night,Relaxation and stress relief,leisure time,Playlists,3
20-35,Male,6 months to 1 year,User_86,Computer or laptop,Free (ad-supported),Yes,Duo plan- Rs 149/month,,Indie,Morning,Sadness or melancholy,While Traveling,Playlists,3
12-20,Male,6 months to 1 year,User_87,Computer or laptop,Free (ad-supported),No,None,,Rock,Afternoon,Uplifting and motivational,Study Hours,Others,3
20-35,Female,1 year to 2 years,User_88,Smartphone,Free (ad-supported),No,None,,Reggae,Night,Relaxation and stress relief,"While Traveling, leisure time",recommendations,4
20-35,Female,Less than 6 months,User_89,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,,Electronic,Night,Relaxation and stress relief,Office hours,Playlists,5
35-60,Others,More than 2 years,User_90,Smart speakers or voice assistants,Free (ad-supported),No,None,,Pop,Morning,Uplifting and motivational,While Traveling,recommendations,4
20-35,Female,More than 2 years,User_91,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,,Hip-hop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time, Night time, when cooking","recommendations, Playlists, Others",5
20-35,Female,Less than 6 months,User_92,Smartphone,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,,Country,Night,Relaxation and stress relief,Office hours,Playlists,3
20-35,Female,Less than 6 months,User_93,Smartphone,Free (ad-supported),No,None,,R&B,Night,Relaxation and stress relief,leisure time,recommendations,3
12-20,Female,More than 2 years,User_94,Smartphone,Free (ad-supported),No,None,,Jazz,Morning,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",4
20-35,Female,More than 2 years,User_95,"Smartphone, Wearable devices",Free (ad-supported),No,None,,Folk,Morning,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, leisure time","recommendations, Playlists",3
20-35,Male,More than 2 years,User_96,Smartphone,Free (ad-supported),No,None,,Indie,Night,"Relaxation and stress relief, Uplifting and motivational",Office hours,Playlists,3
20-35,Male,1 year to 2 years,User_97,Smartphone,Free (ad-supported),No,None,,Rock,Night,Relaxation and stress relief,leisure time,Playlists,3
20-35,Female,6 months to 1 year,User_98,"Smartphone, Computer or laptop",Free (ad-supported),No,None,,Reggae,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, Workout session, leisure time",recommendations,3
20-35,Female,More than 2 years,User_99,Smartphone,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,,Electronic,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",5
20-35,Female,More than 2 years,User_100,"Smartphone, Smart speakers or voice assistants",Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,,Pop,Night,"Relaxation and stress relief, Social gatherings or parties",leisure time,recommendations,3
20-35,Male,More than 2 years,User_101,Smartphone,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,,Hip-hop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, While Traveling, Workout session, leisure time","recommendations, Playlists, Radio",5
20-35,Female,Less than 6 months,User_102,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,,Country,Night,Relaxation and stress relief,While Traveling,Playlists,4
20-35,Female,Less than 6 months,User_103,Smartphone,Free (ad-supported),No,None,,R&B,Afternoon,Relaxation and stress relief,Office hours,recommendations,4
20-35,Male,Less than 6 months,User_104,Smartphone,Free (ad-supported),No,None,,Jazz,Night,Relaxation and stress relief,leisure time,recommendations,4
20-35,Female,More than 2 years,User_105,"Smartphone, Computer or laptop",Free (ad-supported),No,None,,Folk,Morning,"Relaxation and stress relief, Sadness or melancholy","While Traveling, leisure time","recommendations, Playlists",3
20-35,Female,Less than 6 months,User_106,Smartphone,Free (ad-supported),No,None,,Indie,Night,Sadness or melancholy,leisure time,Playlists,4
20-35,Male,More than 2 years,User_107,"Smartphone, Computer or laptop",Free (ad-supported),No,None,,Rock,Morning,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","Office hours, While Traveling",recommendations,4
20-35,Female,More than 2 years,User_108,Smartphone,Free (ad-supported),No,None,,Reggae,Night,"Relaxation and stress relief, Uplifting and motivational","Study Hours, While Traveling, Workout session, leisure time",Others,4
20-35,Female,Less than 6 months,User_109,Smartphone,Free (ad-supported),No,None,,Electronic,Night,Relaxation and stress relief,leisure time,recommendations,3
20-35,Female,More than 2 years,User_110,"Smartphone, Computer or laptop",Premium (paid subscription),Yes,Duo plan- Rs 149/month,,Pop,Night,Relaxation and stress relief,"While Traveling, leisure time","recommendations, Playlists",5
20-35,Male,Less than 6 months,User_111,Smartphone,Free (ad-supported),No,None,,Hip-hop,Night,Relaxation and stress relief,While Traveling,Playlists,4
20-35,Female,Less than 6 months,User_112,Smartphone,Free (ad-supported),No,None,,Country,Night,"Relaxation and stress relief, Uplifting and motivational",While Traveling,"recommendations, Playlists",4
20-35,Female,More than 2 years,User_113,Smartphone,Free (ad-supported),No,None,,R&B,Night,Relaxation and stress relief,While Traveling,recommendations,5
20-35,Female,1 year to 2 years,User_114,Smartphone,Free (ad-supported),No,None,,Jazz,Night,Relaxation and stress relief,"Office hours, While Traveling, Workout session","recommendations, Playlists",5
20-35,Female,Less than 6 months,User_115,Smartphone,Free (ad-supported),No,None,,Folk,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, leisure time",recommendations,4
20-35,Female,1 year to 2 years,User_116,Smartphone,Free (ad-supported),No,None,,Indie,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, Workout session, leisure time",Playlists,4
20-35,Male,More than 2 years,User_117,Smartphone,Premium (paid subscription),No,None,,Rock,Night,Relaxation and stress relief,leisure time,recommendations,1
20-35,Male,More than 2 years,User_118,"Smartphone, Computer or laptop",Premium (paid subscription),No,None,,Reggae,Night,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","Office hours, Study Hours, While Traveling, Workout session, leisure time","recommendations, Playlists, Radio",2
20-35,Female,More than 2 years,User_119,Smartphone,Free (ad-supported),No,None,,Electronic,Night,Relaxation and stress relief,"While Traveling, leisure time",recommendations,4
20-35,Female,Less than 6 months,User_120,Smartphone,Free (ad-supported),No,None,,Pop,Morning,"Relaxation and stress relief, Uplifting and motivational",leisure time,Playlists,1
20-35,Female,6 months to 1 year,User_121,Smartphone,Free (ad-supported),No,None,,Hip-hop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, While Traveling, leisure time","recommendations, Playlists",5
20-35,Male,More than 2 years,User_122,"Smartphone, Computer or laptop",Free (ad-supported),Yes,Duo plan- Rs 149/month,,Country,Night,"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties","While Traveling, leisure time",Others,3
20-35,Female,1 year to 2 years,User_123,Smartphone,Free (ad-supported),No,None,,R&B,Night,Uplifting and motivational,"While Traveling, leisure time","recommendations, Playlists",4
20-35,Female,More than 2 years,User_124,Smartphone,Free (ad-supported),No,None,,Jazz,Night,"Relaxation and stress relief, Uplifting and motivational","Workout session, leisure time","recommendations, Playlists",4
20-35,Female,1 year to 2 years,User_125,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,,Folk,Night,"Relaxation and stress relief, Sadness or melancholy","Office hours, leisure time","recommendations, Playlists",4
20-35,Female,6 months to 1 year,User_126,Smartphone,Free (ad-supported),No,None,,Indie,Morning,Relaxation and stress relief,"While Traveling, leisure time",recommendations,3
12-20,Female,Less than 6 months,User_127,Smartphone,Free (ad-supported),No,None,,Rock,Morning,Relaxation and stress relief,While Traveling,recommendations,4
20-35,Female,6 months to 1 year,User_128,Smartphone,Free (ad-supported),Yes,Student Plan-Rs 59/month,,Reggae,Night,"Relaxation and stress relief, Sadness or melancholy",While Traveling,"recommendations, Others",4
20-35,Female,Less than 6 months,User_129,Smartphone,Free (ad-supported),No,None,,Electronic,Night,Relaxation and stress relief,leisure time,recommendations,4
20-35,Female,More than 2 years,User_130,"Smartphone, Computer or laptop, Smart speakers or voice assistants",Free (ad-supported),No,None,,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, leisure time","recommendations, Playlists, Others",3
20-35,Female,More than 2 years,User_131,"Smartphone, Computer or laptop, Wearable devices",Free (ad-supported),No,None,,Hip-hop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists, Others",4
20-35,Female,Less than 6 months,User_132,Smartphone,Free (ad-supported),No,None,,Country,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, leisure time",recommendations,3
20-35,Male,1 year to 2 years,User_133,"Smartphone, Smart speakers or voice assistants",Free (ad-supported),No,None,,R&B,Night,"Relaxation and stress relief, Uplifting and motivational",leisure time,recommendations,4
20-35,Female,Less than 6 months,User_134,Wearable devices,Free (ad-supported),No,None,,Jazz,Morning,Relaxation and stress relief,leisure time,"recommendations, Others",3
20-35,Male,6 months to 1 year,User_135,"Smartphone, Computer or laptop",Free (ad-supported),Yes,Student Plan-Rs 59/month,,Folk,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, Workout session, leisure time","recommendations, Playlists, Radio",5
20-35,Male,More than 2 years,User_136,"Smartphone, Computer or laptop",Free (ad-supported),No,None,,Indie,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, Workout session","recommendations, Playlists",5
35-60,Male,More than 2 years,User_137,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,,Rock,Night,Uplifting and motivational,"While Traveling, Workout session, leisure time",Playlists,4
20-35,Female,Less than 6 months,User_138,Smartphone,Free (ad-supported),No,None,,Reggae,Night,Relaxation and stress relief,leisure time,recommendations,4
20-35,Male,More than 2 years,User_139,"Smartphone, Smart speakers or voice assistants, Wearable devices",Free (ad-supported),No,None,,Electronic,Night,Relaxation and stress relief,leisure time,Playlists,3
20-35,Female,6 months to 1 year,User_140,Smartphone,Free (ad-supported),No,None,,Pop,Night,Relaxation and stress relief,"While Traveling, leisure time",recommendations,4
20-35,Male,1 year to 2 years,User_141,"Smartphone, Computer or laptop",Premium (paid subscription),Yes,Family Plan-Rs 179/month,,Hip-hop,Night,Relaxation and stress relief,While Traveling,Playlists,5
35-60,Female,Less than 6 months,User_142,Smartphone,Free (ad-supported),No,None,,Country,Night,Relaxation and stress relief,leisure time,recommendations,4
20-35,Female,Less than 6 months,User_143,Smartphone,Free (ad-supported),No,None,,R&B,Night,Relaxation and stress relief,leisure time,"Radio, Others",4
20-35,Female,More than 2 years,User_144,Smartphone,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,,Jazz,Night,"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","Radio, Others",3
20-35,Female,Less than 6 months,User_145,Smartphone,Free (ad-supported),No,None,,Folk,Night,Relaxation and stress relief,"Workout session, leisure time",recommendations,3
20-35,Male,More than 2 years,User_146,Smartphone,Free (ad-supported),No,None,,Indie,Night,Relaxation and stress relief,While Traveling,recommendations,5
12-20,Male,More than 2 years,User_147,Smartphone,Premium (paid subscription),No,None,,Rock,Afternoon,Relaxation and stress relief,"While Traveling, leisure time",recommendations,3
20-35,Male,1 year to 2 years,User_148,"Smartphone, Computer or laptop, Smart speakers or voice assistants, Wearable devices",Free (ad-supported),No,None,,Reggae,Afternoon,Relaxation and stress relief,"Office hours, While Traveling, leisure time","recommendations, Playlists",5
20-35,Female,Less than 6 months,User_149,Smartphone,Free (ad-supported),No,None,,Electronic,Night,Relaxation and stress relief,leisure time,Others,4
20-35,Female,1 year to 2 years,User_150,Smartphone,Free (ad-supported),No,None,,Pop,Night,Relaxation and stress relief,"While Traveling, Workout session, leisure time",Playlists,5
20-35,Female,More than 2 years,User_151,"Smartphone, Computer or laptop",Free (ad-supported),No,None,,Hip-hop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, While Traveling, leisure time","recommendations, Playlists",4
20-35,Female,1 year to 2 years,User_152,Computer or laptop,Free (ad-supported),Yes,Duo plan- Rs 149/month,,Country,Night,Uplifting and motivational,Workout session,Radio,3
