Age,Gender,spotify_usage_period,User_ID,spotify_listening_device,spotify_subscription_plan,premium_sub_willingness,preffered_premium_plan,,fav_music_genre,music_time_slot,music_Influencial_mood,music_lis_frequency,music_expl_method,music_recc_rating
20-35,Others,1 year to 2 years,User_315,Computer or laptop,Premium (paid subscription),No,Family Plan-Rs 179/month,,Folk,Afternoon,Uplifting and motivational,While Traveling,Radio,2
12-20,Female,6 months to 1 year,User_316,Smart speakers or voice assistants,Free (ad-supported),No,Duo plan- Rs 149/month,,Indie,Afternoon,"Uplifting and motivational, Sadness or melancholy",While Traveling,"Playlists, Radio",3
20-35,Female,6 months to 1 year,User_317,Smart speakers or voice assistants,Premium (paid subscription),No,Family Plan-Rs 179/month,,Rock,Afternoon,Sadness or melancholy,While Traveling,Others,2
20-35,Female,1 year to 2 years,User_318,Smart speakers or voice assistants,Premium (paid subscription),Yes,Family Plan-Rs 179/month,,Reggae,Afternoon,Sadness or melancholy,Workout session,Others,3
20-35,Female,1 year to 2 years,User_319,Smart speakers or voice assistants,Free (ad-supported),Yes,Duo plan- Rs 149/month,,Electronic,Afternoon,Sadness or melancholy,While Traveling,Radio,3
12-20,Female,6 months to 1 year,User_320,Computer or laptop,Premium (paid subscription),Yes,Duo plan- Rs 149/month,,Pop,Morning,Sadness or melancholy,While Traveling,Playlists,3
12-20,Female,6 months to 1 year,User_321,Computer or laptop,Free (ad-supported),Yes,Family Plan-Rs 179/month,,Hip-hop,Afternoon,Sadness or melancholy,"While Traveling, leisure time",Others,3
20-35,Female,More than 2 years,User_322,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,,Country,Night,"Relaxation and stress relief, Social gatherings or parties",leisure time,"Others, Social media",2
20-35,Female,1 year to 2 years,User_323,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,,R&B,Night,Relaxation and stress relief,leisure time,recommendations,4
20-35,Female,More than 2 years,User_324,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,,Jazz,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, leisure time",recommendations,4
20-35,Female,6 months to 1 year,User_325,Smartphone,Free (ad-supported),No,None,,Folk,Night,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties",leisure time,Playlists,3
20-35,Female,Less than 6 months,User_326,Smartphone,Free (ad-supported),No,None,,Indie,Morning,"Relaxation and stress relief, Uplifting and motivational","Study Hours, While Traveling, leisure time","recommendations, Playlists",3
20-35,Female,More than 2 years,User_327,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,,Rock,Night,Sadness or melancholy,leisure time,Others,3
20-35,Female,Less than 6 months,User_328,Smartphone,Free (ad-supported),No,None,,Reggae,Night,Relaxation and stress relief,While Traveling,Playlists,4
20-35,Female,6 months to 1 year,User_329,Smartphone,Free (ad-supported),Yes,Student Plan-Rs 59/month,,Electronic,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","Office hours, Study Hours, While Traveling","recommendations, Playlists",5
20-35,Male,More than 2 years,User_330,Smartphone,Free (ad-supported),Yes,Student Plan-Rs 59/month,,Pop,Night,Relaxation and stress relief,"While Traveling, Before bed ","recommendations, Playlists",3
20-35,Female,More than 2 years,User_331,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,,Hip-hop,Morning,Relaxation and stress relief,"While Traveling, leisure time",recommendations,4
20-35,Female,1 year to 2 years,User_332,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,,Country,Morning,Uplifting and motivational,"While Traveling, leisure time",Others,3
20-35,Female,6 months to 1 year,User_333,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,,R&B,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, leisure time","recommendations, Others",1
20-35,Female,6 months to 1 year,User_334,"Smartphone, Wearable devices",Free (ad-supported),No,None,,Jazz,Night,"Relaxation and stress relief, Sadness or melancholy","Office hours, While Traveling, Workout session",Others,4
20-35,Female,Less than 6 months,User_335,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,,Folk,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, Workout session, leisure time",recommendations,4
20-35,Female,More than 2 years,User_336,Smartphone,Free (ad-supported),No,None,,Indie,Night,Relaxation and stress relief,Office hours,Playlists,3
20-35,Female,1 year to 2 years,User_337,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,,Rock,Night,Relaxation and stress relief,leisure time,"recommendations, Playlists",4
20-35,Male,More than 2 years,User_338,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,,Reggae,Night,Uplifting and motivational,leisure time,"Playlists, Others",4
20-35,Female,More than 2 years,User_339,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,,Electronic,Night,Relaxation and stress relief,Workout session,recommendations,4
20-35,Female,More than 2 years,User_340,Smartphone,Free (ad-supported),No,None,,Pop,Night,Relaxation and stress relief,While Traveling,Radio,3
12-20,Male,1 year to 2 years,User_341,"Smartphone, Computer or laptop",Free (ad-supported),No,None,,Hip-hop,Night,"Relaxation and stress relief, Sadness or melancholy","Study Hours, While Traveling",Others,3
20-35,Female,More than 2 years,User_342,"Smartphone, Wearable devices",Free (ad-supported),No,Duo plan- Rs 149/month,,Country,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, Study Hours, While Traveling, Workout session",Playlists,3
20-35,Female,Less than 6 months,User_343,Smartphone,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,,R&B,Afternoon,Relaxation and stress relief,"Office hours, While Traveling","recommendations, Playlists, Radio",5
20-35,Female,More than 2 years,User_344,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,,Jazz,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time",recommendations,5
20-35,Female,More than 2 years,User_345,"Smartphone, Computer or laptop",Free (ad-supported),No,Individual Plan- Rs 119/ month,,Folk,Night,"Relaxation and stress relief, Uplifting and motivational","Office hours, While Traveling, leisure time","recommendations, Playlists",4
